hide new secretions from the parental units 	0
contains no wit , only labored gags 	0
that loves its characters and communicates something rather beautiful about human nature 	1
remains utterly satisfied to remain the same throughout 	0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 	0
that 's far too tragic to merit such superficial treatment 	0
demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . 	1
of saucy 	1
a depressed fifteen-year-old 's suicidal poetry 	0
are more deeply thought through than in most ` right-thinking ' films 	1
goes to absurd lengths 	0
for those moviegoers who complain that ` they do n't make movies like they used to anymore 	0
the part where nothing 's happening , 	0
saw how bad this movie was 	0
lend some dignity to a dumb story 	0
the greatest musicians 	1
cold movie 	0
with his usual intelligence and subtlety 	1
redundant concept 	0
swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . 	1
